Record_number,Study_midyear,YearsOfData,Latitude,Longitude,Site2,Study_number,Elevation,Biome,Ecosystem_state,Ecosystem_type,Leaf_habit,MAT,MAP,Meas_method,Partition_method,Stage,Rs_annual,Site.match,Manipulation,Mean.Temp.,Mean.Precip.,Latitude2,SOC_stock,Ecosystem_type2,Outlier,soil_temperature,nearest_distance_km,soil_temp_years_used,delta.Mean.Temp.,delta.Mean.Precip.,delta.Mean.soil_temperature
5136,2010,1,48.4,11.65,48.4 11.65,6576,508,Temperate,Natural,Deciduous Forest,Deciduous,8.2,847,IRGA,"",Mature,690,48.4_11.65,None,3.41242424242424,,48.4,47.9,Deciduous Forest,0,8.90889892578127,5.54999999999712,2010,-1.66383741081469,,-3.21454457334077
5137,2007,1,48.983,12.883,48.983 12.883,6576,1025,Temperate,Natural,Deciduous Forest,Deciduous,5.5,1357,IRGA,"",Mature,547,48.983_12.883,None,4.65,832.166666666667,48.983,130,Deciduous Forest,0,9.21276499430343,2.66862099229526,2007,-0.426261653238925,-55.1862158479037,-2.91067850481861
5138,2007,1,48.933,11.767,48.933 11.767,6576,475,Temperate,Natural,Deciduous Forest,Deciduous,7.9,699,IRGA,"",Mature,704,48.933_11.767,None,3.47045454545455,594.833333333333,48.933,53.8,Deciduous Forest,0,10.2677780151367,5.18026427887148,2007,-1.60580710778437,-292.519549181238,-1.85566548398534
5139,2008,1,48.933,11.767,48.933 11.767,6576,475,Temperate,Natural,Deciduous Forest,Deciduous,7.9,699,IRGA,"",Mature,615,48.933_11.767,None,3.47045454545455,594.833333333333,48.933,53.8,Deciduous Forest,0,9.69130096435549,5.18026427887148,2008,-1.60580710778437,-292.519549181238,-2.43214253476655
5140,2009,1,48.933,11.767,48.933 11.767,6576,475,Temperate,Natural,Deciduous Forest,Deciduous,7.9,699,IRGA,"",Mature,548,48.933_11.767,None,3.47045454545455,594.833333333333,48.933,53.8,Deciduous Forest,0,9.63413645426436,5.18026427887148,2009,-1.60580710778437,-292.519549181238,-2.48930704485768
5141,2010,1,48.933,11.767,48.933 11.767,6576,475,Temperate,Natural,Deciduous Forest,Deciduous,7.9,699,IRGA,"",Mature,560,48.933_11.767,None,3.47045454545455,594.833333333333,48.933,53.8,Deciduous Forest,0,8.92663981119796,5.18026427887148,2010,-1.60580710778437,-292.519549181238,-3.19680368792408
5165,2005.5,1,4.35,11.75,-4.35 11.75,6610,100,Tropical,Managed,Deciduous Forest,Deciduous,25,1350,IRGA,"",Aggrading,580,-4.35_11.75,None,7.71866666666667,,-4.35,,Deciduous Forest,0,26.3953847249349,7.84888527110289,2006,2.64240501342775,,14.2719412258129
5166,2005.5,1,4.35,11.75,-4.35 11.75,6610,100,Tropical,Managed,Deciduous Forest,Deciduous,25,1350,IRGA,"",Aggrading,470,-4.35_11.75,None,7.71866666666667,,-4.35,,Deciduous Forest,0,26.3953847249349,7.84888527110289,2006,2.64240501342775,,14.2719412258129
5167,2005.5,1,4.35,11.75,-4.35 11.75,6610,100,Tropical,Managed,Deciduous Forest,Deciduous,25,1350,IRGA,"",Aggrading,740,-4.35_11.75,None,7.71866666666667,,-4.35,,Deciduous Forest,0,26.3953847249349,7.84888527110289,2006,2.64240501342775,,14.2719412258129
5204,2012,1,63.81666667,20.25,63.81666667 20.25,6691,,Boreal,"",Mixed Forest,Mixed,5,657.083333333333,IRGA,"",Mature,487,63.81666667_20.25,None,11.09,657.083333333333,63.81666667,172.1,Mixed Forest,0,5.01708119710287,5.85021378826209,2012,6.01373834676108,-230.269549181238,-7.10636230201917
5209,2008,1,28.30597222,-16.56827778,28.30597222 -16.56827778,6709,2070,Mediterranean,Natural,Evergreen Forest,Evergreen,10.7,368,IRGA,"",Mature,322,28.30597222_-16.56827778,None,3.24380952380952,,28.30597222,66.9,Evergreen Forest,0,,,,-1.83245212942941,,
5210,2009,1,28.30597222,-16.56827778,28.30597222 -16.56827778,6709,2070,Mediterranean,Natural,Evergreen Forest,Evergreen,10.7,368,IRGA,"",Mature,308,28.30597222_-16.56827778,None,3.24380952380952,,28.30597222,66.9,Evergreen Forest,0,,,,-1.83245212942941,,
5216,2009.5,1,29.49,112.23,29.49 112.23,6755,,Subtropical,Natural,Wetland,Evergreen,16,1200,IRGA,"",Mature,636,29.49_112.23,None,5.51166666666667,,29.49,,Wetland,0,18.0583129882813,3.51012820304322,2010,0.435405013427745,,5.93486948915927
5217,2009.5,1,29.49,112.23,29.49 112.23,6755,,Subtropical,Natural,Wetland,Evergreen,16,1200,IRGA,"",Mature,532,29.49_112.23,None,5.51166666666667,,29.49,,Wetland,0,18.0583129882813,3.51012820304322,2010,0.435405013427745,,5.93486948915927
